REQ EXG-FON-001 args={"type":"Requirement","name":"EXG-FON-001","definition":"La solution doit être mise à disposition en mode SaaS sous la forme d’une plateforme informatique complète et intégrée pour la gestion des actions PIA/France2030 et PIC, afin d’accompagner la transformation numérique des գործընթաց internes et externes de la CDC et de son écosystème.","analyst_properties":{"categorie":"Fonctionnel","priorité":"Haute","Origin":"document=20245175 - CCTP.pdf | ref=Contexte général / Exigences fonctionnelles métier | location=page 1 ; page 5, sections 2.1 et 2.2 | context=Plateforme cible et périmètre global | quote=mise à disposition en mode SaaS d’une solution numérique ... sous la forme d’une plateforme informatique complète et intégrée pour la gestion des actions PIA/France2030, PIC","origin":"document=20245175 - CCTP.pdf | ref=Contexte général / Exigences fonctionnelles métier | location=page 1 ; page 5, sections 2.1 et 2.2 | context=Plateforme cible et périmètre global | quote=mise à disposition en mode SaaS d’une solution numérique ... sous la forme d’une plateforme informatique complète et intégrée pour la gestion des actions PIA/France2030, PIC","origine":"document=20245175 - CCTP.pdf | ref=Contexte général / Exigences fonctionnelles métier | location=page 1 ; page 5, sections 2.1 et 2.2 | context=Plateforme cible et périmètre global | quote=mise à disposition en mode SaaS d’une solution numérique ... sous la forme d’une plateforme informatique complète et intégrée pour la gestion des actions PIA/France2030, PIC"}}
REQ EXG-FON-001 response={"owner_name":"Requirement Container","isError":false,"analyst_properties":{"Benefit":"Critical","Cost":"0","Origin":"document=20245175 - CCTP.pdf | ref=Contexte général / Exigences fonctionnelles métier | location=page 1 ; page 5, sections 2.1 et 2.2 | context=Plateforme cible et périmètre global | quote=mise à disposition en mode SaaS d’une solution numérique ... sous la forme d’une plateforme informatique complète et intégrée pour la gestion des actions PIA/France2030, PIC","Risk":"Low","Stability":"Low","Target Release":"0","categorie":"Fonctionnel","origin":"document=20245175 - CCTP.pdf | ref=Contexte général / Exigences fonctionnelles métier | location=page 1 ; page 5, sections 2.1 et 2.2 | context=Plateforme cible et périmètre global | quote=mise à disposition en mode SaaS d’une solution numérique ... sous la forme d’une plateforme informatique complète et intégrée pour la gestion des actions PIA/France2030, PIC","origine":"document=20245175 - CCTP.pdf | ref=Contexte général / Exigences fonctionnelles métier | location=page 1 ; page 5, sections 2.1 et 2.2 | context=Plateforme cible et périmètre global | quote=mise à disposition en mode SaaS d’une solution numérique ... sous ...(truncated)

REQ EXG-FON-002 args={"type":"Requirement","name":"EXG-FON-002","definition":"La plateforme doit permettre le processus de sélection puis l’accompagnement des projets subventionnés PIA/France2030 et PIC, depuis la phase de candidature jusqu’à la phase d’animation des projets lauréats.","analyst_properties":{"categorie":"Fonctionnel","priorité":"Haute","Origin":"document=20245175 - CCTP.pdf | ref=Exigences fonctionnelles métier | location=page 5, section 2.2 ; page 5, section 2.1 | context=Pilotage du cycle de vie des projets | quote=la plateforme doit permettre le processus de sélection puis l’accompagnement des projets subventionnés PIA/France2030, PIC","origin":"document=20245175 - CCTP.pdf | ref=Exigences fonctionnelles métier | location=page 5, section 2.2 ; page 5, section 2.1 | context=Pilotage du cycle de vie des projets | quote=la plateforme doit permettre le processus de sélection puis l’accompagnement des projets subventionnés PIA/France2030, PIC","origine":"document=20245175 - CCTP.pdf | ref=Exigences fonctionnelles métier | location=page 5, section 2.2 ; page 5, section 2.1 | context=Pilotage du cycle de vie des projets | quote=la plateforme doit permettre le processus de sélection puis l’accompagnement des projets subventionnés PIA/France2030, PIC"}}
REQ EXG-FON-002 response={"owner_name":"Requirement Container","isError":false,"analyst_properties":{"Benefit":"Critical","Cost":"0","Origin":"document=20245175 - CCTP.pdf | ref=Exigences fonctionnelles métier | location=page 5, section 2.2 ; page 5, section 2.1 | context=Pilotage du cycle de vie des projets | quote=la plateforme doit permettre le processus de sélection puis l’accompagnement des projets subventionnés PIA/France2030, PIC","Risk":"Low","Stability":"Low","Target Release":"0","categorie":"Fonctionnel","origin":"document=20245175 - CCTP.pdf | ref=Exigences fonctionnelles métier | location=page 5, section 2.2 ; page 5, section 2.1 | context=Pilotage du cycle de vie des projets | quote=la plateforme doit permettre le processus de sélection puis l’accompagnement des projets subventionnés PIA/France2030, PIC","origine":"document=20245175 - CCTP.pdf | ref=Exigences fonctionnelles métier | location=page 5, section 2.2 ; page 5, section 2.1 | context=Pilotage du cycle de vie des projets | quote=la plateforme doit permettre le processus de sélection puis l’accompagnement des projets subventionnés PIA/France2030, PIC","priorité":"Haute"},"name":"EXG-FON-002","analyst_properties_set":5,"definition":"La p...(truncated)

REQ EXG-FON-003 args={"type":"Requirement","name":"EXG-FON-003","definition":"La plateforme doit accueillir les parties prenantes de l’écosystème avec des accès différenciés pour les candidats, partenaires de consortium, équipes projet, experts, membres des comités, SGPI, ministères, agences de l’État, services déconcentrés et équipes internes de la CDC.","analyst_properties":{"categorie":"Fonctionnel","priorité":"Haute","Origin":"document=20245175 - CCTP.pdf | ref=Exigences fonctionnelles métier | location=page 6, tableau des droits/profils | context=Gestion multi-profils utilisateurs | quote=la plateforme doit accueillir les parties prenantes de l’écosystème, avec accès différenciés","origin":"document=20245175 - CCTP.pdf | ref=Exigences fonctionnelles métier | location=page 6, tableau des droits/profils | context=Gestion multi-profils utilisateurs | quote=la plateforme doit accueillir les parties prenantes de l’écosystème, avec accès différenciés","origine":"document=20245175 - CCTP.pdf | ref=Exigences fonctionnelles métier | location=page 6, tableau des droits/profils | context=Gestion multi-profils utilisateurs | quote=la plateforme doit accueillir les parties prenantes de l’écosystème, avec accès différenciés"}}
REQ EXG-FON-003 response={"owner_name":"Requirement Container","isError":false,"analyst_properties":{"Benefit":"Critical","Cost":"0","Origin":"document=20245175 - CCTP.pdf | ref=Exigences fonctionnelles métier | location=page 6, tableau des droits/profils | context=Gestion multi-profils utilisateurs | quote=la plateforme doit accueillir les parties prenantes de l’écosystème, avec accès différenciés","Risk":"Low","Stability":"Low","Target Release":"0","categorie":"Fonctionnel","origin":"document=20245175 - CCTP.pdf | ref=Exigences fonctionnelles métier | location=page 6, tableau des droits/profils | context=Gestion multi-profils utilisateurs | quote=la plateforme doit accueillir les parties prenantes de l’écosystème, avec accès différenciés","origine":"document=20245175 - CCTP.pdf | ref=Exigences fonctionnelles métier | location=page 6, tableau des droits/profils | context=Gestion multi-profils utilisateurs | quote=la plateforme doit accueillir les parties prenantes de l’écosystème, avec accès différenciés","priorité":"Haute"},"name":"EXG-FON-003","analyst_properties_set":5,"definition":"La plateforme doit accueillir les parties prenantes de l’écosystème avec des accès différenciés pour les candidats, parte...(truncated)

REQ EXG-RSS-001 args={"type":"Requirement","name":"EXG-RSS-001","definition":"La solution doit gérer des accès personnalisés en lecture/écriture selon le rôle et permettre une gestion différenciée et paramétrable des droits d’accès.","analyst_properties":{"categorie":"Sécurité","priorité":"Haute","Origin":"document=20245175 - CCTP.pdf | ref=Exigences fonctionnelles métier | location=page 10, paragraphe sur les accès personnalisés ; page 7, exigence sur l’octroi des droits d’accès | context=Gestion des habilitations | quote=accès personnalisés en lecture/écriture selon le rôle ... la gestion des droits d’accès doit être différenciée et paramétrable","origin":"document=20245175 - CCTP.pdf | ref=Exigences fonctionnelles métier | location=page 10, paragraphe sur les accès personnalisés ; page 7, exigence sur l’octroi des droits d’accès | context=Gestion des habilitations | quote=accès personnalisés en lecture/écriture selon le rôle ... la gestion des droits d’accès doit être différenciée et paramétrable","origine":"document=20245175 - CCTP.pdf | ref=Exigences fonctionnelles métier | location=page 10, paragraphe sur les accès personnalisés ; page 7, exigence sur l’octroi des droits d’accès | context=Gestion des habilitations | quote=accès personnalisés en lecture/écriture selon le rôle ... la gestion des droits d’accès doit être différenciée et paramétrable"}}
REQ EXG-RSS-001 response={"owner_name":"Requirement Container","isError":false,"analyst_properties":{"Benefit":"Critical","Cost":"0","Origin":"document=20245175 - CCTP.pdf | ref=Exigences fonctionnelles métier | location=page 10, paragraphe sur les accès personnalisés ; page 7, exigence sur l’octroi des droits d’accès | context=Gestion des habilitations | quote=accès personnalisés en lecture/écriture selon le rôle ... la gestion des droits d’accès doit être différenciée et paramétrable","Risk":"Low","Stability":"Low","Target Release":"0","categorie":"Sécurité","origin":"document=20245175 - CCTP.pdf | ref=Exigences fonctionnelles métier | location=page 10, paragraphe sur les accès personnalisés ; page 7, exigence sur l’octroi des droits d’accès | context=Gestion des habilitations | quote=accès personnalisés en lecture/écriture selon le rôle ... la gestion des droits d’accès doit être différenciée et paramétrable","origine":"document=20245175 - CCTP.pdf | ref=Exigences fonctionnelles métier | location=page 10, paragraphe sur les accès personnalisés ; page 7, exigence sur l’octroi des droits d’accès | context=Gestion des habilitations | quote=accès personnalisés en lecture/écriture selon le rôle ... la gestio...(truncated)

